hometeam,date,home_FG,home_FGA,home_FGpct,home_3P,home_3PA,home_3Ppct,home_FT,home_FTA,home_FTpct,home_PF,home_PTS
Indiana Pacers,2014-11-04,31,78,.397,6,24,.250,13,22,.591,17,81
Los Angeles Lakers,2014-11-04,35,88,.398,6,16,.375,30,41,.732,25,106
Miami Heat,2014-11-04,31,74,.419,12,28,.429,17,27,.630,21,91
New Orleans Pelicans,2014-11-04,38,81,.469,5,18,.278,19,19,1.000,19,100
New York Knicks,2014-11-04,30,81,.370,8,15,.533,15,19,.789,23,83
Portland Trail Blazers,2014-11-04,37,75,.493,8,25,.320,19,25,.760,20,101
Toronto Raptors,2014-11-04,32,81,.395,8,31,.258,28,33,.848,24,100
Boston Celtics,2014-11-05,40,78,.513,10,26,.385,17,18,.944,25,107
Brooklyn Nets,2014-11-05,36,82,.439,8,21,.381,11,17,.647,22,91
Charlotte Hornets,2014-11-05,35,82,.427,5,18,.278,21,29,.724,24,96
Detroit Pistons,2014-11-05,32,87,.368,11,23,.478,23,33,.697,16,98
Golden State Warriors,2014-11-05,43,74,.581,15,25,.600,20,20,1.000,22,121
Milwaukee Bucks,2014-11-05,33,89,.371,3,15,.200,17,20,.850,28,86
Philadelphia 76ers,2014-11-05,33,77,.429,8,25,.320,15,23,.652,18,89
Phoenix Suns,2014-11-05,32,69,.464,8,21,.381,19,21,.905,20,91
Sacramento Kings,2014-11-05,42,76,.553,8,20,.400,39,50,.780,30,131
San Antonio Spurs,2014-11-05,31,69,.449,5,17,.294,27,38,.711,15,94
Utah Jazz,2014-11-05,39,77,.506,7,21,.333,17,22,.773,26,102
Washington Wizards,2014-11-05,34,91,.374,7,17,.412,21,23,.913,22,96
Houston Rockets,2014-11-06,34,72,.472,10,27,.370,20,33,.606,20,98
Portland Trail Blazers,2014-11-06,40,77,.519,12,30,.400,16,19,.842,21,108
Boston Celtics,2014-11-07,39,85,.459,9,27,.333,14,16,.875,19,101
