hometeam,date,home_FG,home_FGA,home_FGpct,home_3P,home_3PA,home_3Ppct,home_FT,home_FTA,home_FTpct,home_PF,home_PTS
Utah Jazz,2017-12-04,43,76,.566,16,34,.471,14,18,.778,20,116
Oklahoma City Thunder,2017-12-05,39,81,.481,4,18,.222,18,26,.692,18,100
Portland Trail Blazers,2017-12-05,32,78,.410,12,27,.444,16,21,.762,20,92
Toronto Raptors,2017-12-05,44,92,.478,15,36,.417,23,26,.885,28,126
Boston Celtics,2017-12-06,36,87,.414,12,34,.353,13,17,.765,15,97
Charlotte Hornets,2017-12-06,34,97,.351,6,19,.316,13,17,.765,13,87
Cleveland Cavaliers,2017-12-06,37,78,.474,14,39,.359,13,21,.619,10,101
Indiana Pacers,2017-12-06,39,87,.448,12,34,.353,8,10,.800,14,98
Los Angeles Clippers,2017-12-06,44,99,.444,10,32,.313,9,15,.600,17,107
Milwaukee Bucks,2017-12-06,39,79,.494,8,22,.364,18,26,.692,21,104
New Orleans Pelicans,2017-12-06,46,86,.535,12,31,.387,19,29,.655,19,123
New York Knicks,2017-12-06,35,67,.522,9,14,.643,20,27,.741,21,99
Orlando Magic,2017-12-06,46,98,.469,6,28,.214,12,18,.667,23,110
San Antonio Spurs,2017-12-06,46,87,.529,13,25,.520,12,14,.857,13,117
Brooklyn Nets,2017-12-07,35,80,.438,11,37,.297,19,30,.633,21,100
Philadelphia 76ers,2017-12-07,39,81,.481,10,26,.385,16,21,.762,26,104
Phoenix Suns,2017-12-07,36,78,.462,7,23,.304,20,28,.714,21,99
Utah Jazz,2017-12-07,34,77,.442,11,30,.367,22,27,.815,21,101
Charlotte Hornets,2017-12-08,40,100,.400,10,29,.345,21,29,.724,20,111
Detroit Pistons,2017-12-08,38,92,.413,12,27,.444,10,19,.526,17,98
Indiana Pacers,2017-12-08,38,86,.442,15,39,.385,15,24,.625,19,106
Memphis Grizzlies,2017-12-08,41,82,.500,9,27,.333,16,22,.727,25,107
Milwaukee Bucks,2017-12-08,36,79,.456,8,24,.333,29,34,.853,24,109
New Orleans Pelicans,2017-12-08,41,89,.461,10,28,.357,17,19,.895,14,109
Orlando Magic,2017-12-08,33,83,.398,5,21,.238,18,23,.783,17,89
San Antonio Spurs,2017-12-08,38,81,.469,8,27,.296,21,24,.875,14,105
Atlanta Hawks,2017-12-09,41,80,.513,17,33,.515,18,25,.720,13,117
Brooklyn Nets,2017-12-09,33,81,.407,7,27,.259,16,19,.842,17,89
Chicago Bulls,2017-12-09,42,82,.512,7,25,.280,13,23,.565,19,104
Charlotte Hornets,2017-12-09,41,93,.441,8,25,.320,9,14,.643,21,99
Cleveland Cavaliers,2017-12-09,36,75,.480,14,29,.483,19,25,.760,16,105
Los Angeles Clippers,2017-12-09,39,80,.488,14,32,.438,21,24,.875,19,113
Memphis Grizzlies,2017-12-09,39,88,.443,13,33,.394,10,17,.588,30,101
Milwaukee Bucks,2017-12-09,44,81,.543,7,17,.412,22,26,.846,29,117
Phoenix Suns,2017-12-09,35,80,.438,7,25,.280,24,30,.800,21,101
Portland Trail Blazers,2017-12-09,45,88,.511,18,41,.439,9,12,.750,28,117
Detroit Pistons,2017-12-10,28,84,.333,10,33,.303,15,19,.789,16,81
Indiana Pacers,2017-12-10,49,93,.527,10,25,.400,18,22,.818,17,126
Minnesota Timberwolves,2017-12-10,36,72,.500,7,19,.368,18,23,.783,19,97
New Orleans Pelicans,2017-12-10,46,80,.575,15,24,.625,24,32,.750,21,131
New York Knicks,2017-12-10,39,80,.488,5,17,.294,28,34,.824,30,111
Sacramento Kings,2017-12-10,35,73,.479,10,23,.435,7,14,.500,17,87
Chicago Bulls,2017-12-11,39,81,.481,12,29,.414,18,25,.720,18,108
Golden State Warriors,2017-12-11,44,80,.550,10,20,.500,13,17,.765,16,111
Houston Rockets,2017-12-11,48,88,.545,17,45,.378,17,25,.680,15,130
Los Angeles Clippers,2017-12-11,34,92,.370,8,36,.222,20,24,.833,20,96
Memphis Grizzlies,2017-12-11,28,72,.389,8,27,.296,18,27,.667,22,82
Oklahoma City Thunder,2017-12-11,35,85,.412,9,26,.346,24,25,.960,19,103
Brooklyn Nets,2017-12-12,34,84,.405,10,43,.233,25,33,.758,21,103
Cleveland Cavaliers,2017-12-12,48,86,.558,20,38,.526,7,10,.700,18,123
Dallas Mavericks,2017-12-12,38,89,.427,9,24,.375,10,12,.833,19,95
Detroit Pistons,2017-12-12,28,79,.354,9,25,.360,19,22,.864,16,84
Minnesota Timberwolves,2017-12-12,44,108,.407,5,29,.172,19,27,.704,21,112
New York Knicks,2017-12-12,48,101,.475,9,22,.409,8,11,.727,16,113
Sacramento Kings,2017-12-12,38,89,.427,7,22,.318,16,22,.727,18,99
Boston Celtics,2017-12-13,47,79,.595,11,25,.440,19,24,.792,20,124
Chicago Bulls,2017-12-13,41,93,.441,7,17,.412,14,21,.667,14,103
Houston Rockets,2017-12-13,39,88,.443,17,45,.378,13,19,.684,18,108
Indiana Pacers,2017-12-13,40,89,.449,11,31,.355,4,6,.667,21,95
Miami Heat,2017-12-13,34,72,.472,13,30,.433,14,23,.609,21,95
New Orleans Pelicans,2017-12-13,45,80,.563,13,25,.520,12,15,.800,16,115
Orlando Magic,2017-12-13,37,88,.420,9,27,.333,12,21,.571,13,95
Phoenix Suns,2017-12-13,37,83,.446,8,24,.333,27,34,.794,24,109
Washington Wizards,2017-12-13,36,77,.468,9,22,.409,12,24,.500,22,93
Atlanta Hawks,2017-12-14,32,70,.457,11,31,.355,16,26,.615,12,91
Brooklyn Nets,2017-12-14,37,83,.446,12,42,.286,18,23,.783,21,104
Cleveland Cavaliers,2017-12-14,43,86,.500,15,36,.417,20,25,.800,16,121
Golden State Warriors,2017-12-14,47,78,.603,11,22,.500,7,9,.778,22,112
Minnesota Timberwolves,2017-12-14,46,82,.561,10,21,.476,17,20,.850,19,119
Boston Celtics,2017-12-15,35,86,.407,9,31,.290,16,19,.842,18,95
Charlotte Hornets,2017-12-15,34,83,.410,10,27,.370,20,27,.741,14,98
Denver Nuggets,2017-12-15,46,100,.460,16,36,.444,9,14,.643,17,117
Houston Rockets,2017-12-15,43,91,.473,18,50,.360,20,25,.800,16,124
Indiana Pacers,2017-12-15,35,87,.402,9,30,.300,19,25,.760,15,98
Memphis Grizzlies,2017-12-15,36,78,.462,12,25,.480,12,17,.706,24,96
Milwaukee Bucks,2017-12-15,40,83,.482,9,33,.273,20,29,.690,24,109
Orlando Magic,2017-12-15,32,84,.381,10,29,.345,14,19,.737,18,88
Philadelphia 76ers,2017-12-15,44,100,.440,13,46,.283,16,20,.800,20,117
Toronto Raptors,2017-12-15,54,97,.557,7,28,.250,5,9,.556,16,120
Washington Wizards,2017-12-15,39,88,.443,7,31,.226,15,23,.652,26,100
Charlotte Hornets,2017-12-16,33,96,.344,7,31,.226,18,28,.643,21,91
Cleveland Cavaliers,2017-12-16,42,79,.532,10,22,.455,15,17,.882,15,109
Houston Rockets,2017-12-16,35,76,.461,11,35,.314,34,42,.810,23,115
Memphis Grizzlies,2017-12-16,32,79,.405,14,34,.412,15,17,.882,19,93
Miami Heat,2017-12-16,31,82,.378,12,35,.343,16,21,.762,15,90
Minnesota Timberwolves,2017-12-16,40,95,.421,9,27,.333,17,24,.708,19,106
New York Knicks,2017-12-16,38,69,.551,14,23,.609,21,26,.808,22,111
San Antonio Spurs,2017-12-16,39,86,.453,5,25,.200,15,18,.833,14,98
Brooklyn Nets,2017-12-17,34,81,.420,12,33,.364,17,21,.810,17,97
Detroit Pistons,2017-12-17,42,89,.472,17,34,.500,13,16,.813,17,114
Toronto Raptors,2017-12-17,36,85,.424,13,30,.433,23,28,.821,13,108
Washington Wizards,2017-12-17,39,91,.429,12,33,.364,9,16,.563,18,99
Atlanta Hawks,2017-12-18,38,83,.458,8,22,.364,26,31,.839,23,110
Chicago Bulls,2017-12-18,44,92,.478,13,28,.464,16,19,.842,16,117
Charlotte Hornets,2017-12-18,43,88,.489,9,20,.450,14,16,.875,16,109
Dallas Mavericks,2017-12-18,32,88,.364,11,37,.297,16,17,.941,18,91
Houston Rockets,2017-12-18,40,77,.519,17,43,.395,23,27,.852,13,120
Indiana Pacers,2017-12-18,37,79,.468,7,21,.333,30,38,.789,16,111
Los Angeles Lakers,2017-12-18,41,92,.446,10,25,.400,22,35,.629,26,114
Minnesota Timberwolves,2017-12-18,42,91,.462,7,19,.368,17,21,.810,14,108
Oklahoma City Thunder,2017-12-18,39,81,.481,7,24,.292,10,15,.667,13,95
San Antonio Spurs,2017-12-18,40,82,.488,9,24,.375,20,25,.800,19,109
Milwaukee Bucks,2017-12-19,43,82,.524,11,29,.379,22,27,.815,18,119
Philadelphia 76ers,2017-12-19,34,81,.420,10,35,.286,17,24,.708,19,95
Washington Wizards,2017-12-19,46,92,.500,14,35,.400,10,14,.714,31,116
Atlanta Hawks,2017-12-20,35,81,.432,8,29,.276,17,20,.850,17,95
Boston Celtics,2017-12-20,30,80,.375,13,32,.406,16,21,.762,22,89
Brooklyn Nets,2017-12-20,32,82,.390,15,42,.357,20,23,.870,19,99
Chicago Bulls,2017-12-20,44,87,.506,11,32,.344,13,14,.929,23,112
Charlotte Hornets,2017-12-20,39,85,.459,7,23,.304,26,35,.743,18,111
Dallas Mavericks,2017-12-20,40,75,.533,14,30,.467,16,20,.800,17,110
Denver Nuggets,2017-12-20,36,72,.500,13,28,.464,19,24,.792,18,104
Golden State Warriors,2017-12-20,34,74,.459,7,21,.333,22,25,.880,19,97
Houston Rockets,2017-12-20,37,90,.411,17,42,.405,25,32,.781,30,116
Los Angeles Clippers,2017-12-20,41,87,.471,10,30,.333,16,24,.667,19,108
Oklahoma City Thunder,2017-12-20,40,77,.519,8,23,.348,19,22,.864,26,107
Portland Trail Blazers,2017-12-20,38,96,.396,6,25,.240,9,14,.643,14,91
Cleveland Cavaliers,2017-12-21,42,82,.512,12,29,.414,19,22,.864,14,115
New York Knicks,2017-12-21,36,79,.456,8,14,.571,22,26,.846,20,102
Philadelphia 76ers,2017-12-21,45,86,.523,9,29,.310,10,14,.714,27,109
Phoenix Suns,2017-12-21,33,81,.407,10,26,.385,21,27,.778,17,97
Utah Jazz,2017-12-21,34,74,.459,12,26,.462,20,24,.833,18,100
Brooklyn Nets,2017-12-22,44,88,.500,14,41,.341,17,21,.810,17,119
Detroit Pistons,2017-12-22,38,88,.432,10,25,.400,18,25,.720,11,104
Golden State Warriors,2017-12-22,42,85,.494,7,24,.292,22,27,.815,17,113
Houston Rockets,2017-12-22,36,78,.462,17,40,.425,29,35,.829,26,118
Miami Heat,2017-12-22,46,72,.639,16,25,.640,5,6,.833,15,113
Milwaukee Bucks,2017-12-22,41,87,.471,8,29,.276,19,23,.826,16,109
Oklahoma City Thunder,2017-12-22,44,82,.537,13,25,.520,19,31,.613,18,120
Orlando Magic,2017-12-22,36,85,.424,4,20,.200,21,29,.724,19,97
Portland Trail Blazers,2017-12-22,35,83,.422,6,22,.273,9,16,.563,19,85
Atlanta Hawks,2017-12-23,42,75,.560,10,24,.417,18,22,.818,19,112
Boston Celtics,2017-12-23,44,92,.478,12,32,.375,17,21,.810,18,117
Charlotte Hornets,2017-12-23,36,74,.486,9,21,.429,30,40,.750,20,111
Golden State Warriors,2017-12-23,32,84,.381,3,27,.111,14,17,.824,14,81
Indiana Pacers,2017-12-23,47,90,.522,10,23,.435,19,24,.792,25,123
Los Angeles Lakers,2017-12-23,36,85,.424,8,25,.320,12,20,.600,22,92
Memphis Grizzlies,2017-12-23,40,90,.444,13,31,.419,22,25,.880,26,115
Miami Heat,2017-12-23,36,85,.424,10,32,.313,12,15,.800,19,94
Phoenix Suns,2017-12-23,40,86,.465,11,32,.344,15,24,.625,22,106
Sacramento Kings,2017-12-23,40,86,.465,12,22,.545,7,11,.636,17,99
Toronto Raptors,2017-12-23,35,85,.412,9,27,.333,23,26,.885,20,102
Utah Jazz,2017-12-23,33,72,.458,6,26,.231,17,20,.850,13,89
Washington Wizards,2017-12-23,47,86,.547,16,30,.533,20,23,.870,18,130
Boston Celtics,2017-12-25,39,81,.481,14,29,.483,11,17,.647,23,103
Golden State Warriors,2017-12-25,38,82,.463,10,37,.270,13,17,.765,18,99
Los Angeles Lakers,2017-12-25,40,92,.435,10,30,.333,14,20,.700,16,104
New York Knicks,2017-12-25,38,94,.404,4,15,.267,18,28,.643,21,98
Oklahoma City Thunder,2017-12-25,43,79,.544,8,18,.444,18,23,.783,20,112
Dallas Mavericks,2017-12-26,40,94,.426,6,24,.250,12,16,.750,24,98
Denver Nuggets,2017-12-26,39,81,.481,11,30,.367,18,22,.818,21,107
Detroit Pistons,2017-12-26,41,82,.500,12,34,.353,13,16,.813,17,107
Los Angeles Clippers,2017-12-26,44,81,.543,13,31,.419,21,27,.778,13,122
Miami Heat,2017-12-26,41,91,.451,11,33,.333,14,17,.824,20,107
Milwaukee Bucks,2017-12-26,39,83,.470,10,31,.323,18,24,.750,21,106
Phoenix Suns,2017-12-26,32,72,.444,8,22,.364,27,35,.771,29,99
San Antonio Spurs,2017-12-26,41,80,.513,7,16,.438,20,24,.833,14,109
Atlanta Hawks,2017-12-27,41,94,.436,11,37,.297,20,29,.690,21,113
Chicago Bulls,2017-12-27,35,86,.407,10,28,.357,12,16,.750,15,92
Charlotte Hornets,2017-12-27,32,87,.368,7,23,.304,20,29,.690,11,91
Golden State Warriors,2017-12-27,51,86,.593,11,23,.478,13,17,.765,18,126
Indiana Pacers,2017-12-27,38,79,.481,10,25,.400,8,10,.800,17,94
Los Angeles Lakers,2017-12-27,35,93,.376,8,28,.286,21,33,.636,26,99
Minnesota Timberwolves,2017-12-27,47,90,.522,12,29,.414,22,30,.733,26,128
New Orleans Pelicans,2017-12-27,48,90,.533,17,33,.515,15,19,.789,15,128
Oklahoma City Thunder,2017-12-27,46,87,.529,9,25,.360,23,33,.697,26,124
Sacramento Kings,2017-12-27,41,79,.519,12,30,.400,15,18,.833,19,109
Boston Celtics,2017-12-28,37,82,.451,8,29,.276,17,24,.708,22,99
Milwaukee Bucks,2017-12-28,41,75,.547,5,15,.333,15,16,.938,18,102
Orlando Magic,2017-12-28,37,82,.451,11,26,.423,17,17,1.000,17,102
Portland Trail Blazers,2017-12-28,35,75,.467,8,24,.333,36,47,.766,18,114
San Antonio Spurs,2017-12-28,41,80,.513,9,20,.450,28,39,.718,18,119
Chicago Bulls,2017-12-29,43,85,.506,18,39,.462,15,15,1.000,20,119
Golden State Warriors,2017-12-29,40,87,.460,8,22,.364,12,13,.923,25,100
Los Angeles Lakers,2017-12-29,46,94,.489,3,19,.158,11,16,.688,22,106
Miami Heat,2017-12-29,30,89,.337,3,26,.115,24,31,.774,18,87
New Orleans Pelicans,2017-12-29,42,85,.494,8,31,.258,28,32,.875,19,120
Oklahoma City Thunder,2017-12-29,38,83,.458,7,25,.280,12,20,.600,19,95
Sacramento Kings,2017-12-29,37,80,.463,8,23,.348,19,23,.826,23,101
Toronto Raptors,2017-12-29,46,105,.438,13,37,.351,6,8,.750,22,111
Washington Wizards,2017-12-29,47,88,.534,18,36,.500,9,12,.750,15,121
Atlanta Hawks,2017-12-30,40,89,.449,14,30,.467,10,15,.667,16,104
Denver Nuggets,2017-12-30,35,87,.402,7,32,.219,25,34,.735,12,102
Detroit Pistons,2017-12-30,36,81,.444,8,24,.333,13,16,.813,11,93
Golden State Warriors,2017-12-30,50,85,.588,18,33,.545,23,25,.920,17,141
New Orleans Pelicans,2017-12-30,38,84,.452,6,26,.231,21,27,.778,19,103
Orlando Magic,2017-12-30,44,81,.543,12,27,.444,11,15,.733,20,111
Utah Jazz,2017-12-30,38,82,.463,10,31,.323,18,21,.857,24,104
Boston Celtics,2017-12-31,39,79,.494,14,33,.424,16,25,.640,22,108
Houston Rockets,2017-12-31,49,106,.462,18,52,.346,32,39,.821,33,148
Indiana Pacers,2017-12-31,33,85,.388,10,25,.400,14,18,.778,18,90
Los Angeles Clippers,2017-12-31,36,76,.474,10,28,.357,24,27,.889,21,106
Oklahoma City Thunder,2017-12-31,43,89,.483,10,32,.313,17,23,.739,20,113
Phoenix Suns,2017-12-31,37,88,.420,10,27,.370,26,34,.765,29,110
Sacramento Kings,2017-12-31,37,86,.430,9,24,.375,13,25,.520,21,96
Washington Wizards,2017-12-31,43,93,.462,16,36,.444,12,17,.706,24,114
Brooklyn Nets,2018-01-01,36,82,.439,9,25,.360,17,23,.739,22,98
Chicago Bulls,2018-01-01,45,104,.433,11,27,.407,19,23,.826,21,120
Minnesota Timberwolves,2018-01-01,40,81,.494,7,20,.350,27,30,.900,24,114
Toronto Raptors,2018-01-01,45,91,.495,14,33,.424,27,33,.818,20,131
Cleveland Cavaliers,2018-01-02,43,83,.518,13,32,.406,28,37,.757,17,127
Los Angeles Clippers,2018-01-02,39,71,.549,9,23,.391,26,31,.839,24,113
New York Knicks,2018-01-02,35,87,.402,7,22,.318,14,18,.778,23,91
Phoenix Suns,2018-01-02,39,77,.506,7,22,.318,19,26,.731,22,104
Sacramento Kings,2018-01-02,45,87,.517,7,17,.412,14,18,.778,19,111
Boston Celtics,2018-01-03,41,92,.446,12,36,.333,8,11,.727,20,102
Brooklyn Nets,2018-01-03,37,72,.514,14,30,.467,10,11,.909,23,98
Chicago Bulls,2018-01-03,43,93,.462,13,33,.394,16,19,.842,20,115
Dallas Mavericks,2018-01-03,43,90,.478,19,43,.442,17,22,.773,17,122
Denver Nuggets,2018-01-03,51,82,.622,12,27,.444,20,22,.909,16,134
Los Angeles Lakers,2018-01-03,38,92,.413,11,33,.333,9,15,.600,10,96
Miami Heat,2018-01-03,43,84,.512,17,34,.500,8,11,.727,16,111
Milwaukee Bucks,2018-01-03,44,75,.587,9,17,.529,25,28,.893,23,122
Orlando Magic,2018-01-03,35,91,.385,6,31,.194,22,25,.880,19,98
Philadelphia 76ers,2018-01-03,36,80,.450,7,22,.318,33,43,.767,21,112
Utah Jazz,2018-01-03,38,84,.452,7,32,.219,15,17,.882,21,98
Washington Wizards,2018-01-03,48,81,.593,9,23,.391,16,26,.615,21,121
Houston Rockets,2018-01-04,42,89,.472,17,50,.340,13,22,.591,17,114
Los Angeles Clippers,2018-01-04,45,100,.450,9,30,.300,18,23,.783,15,117
Boston Celtics,2018-01-05,38,94,.404,6,36,.167,9,13,.692,22,91
Dallas Mavericks,2018-01-05,49,92,.533,14,32,.438,12,17,.706,24,124
Denver Nuggets,2018-01-05,38,86,.442,14,35,.400,9,15,.600,11,99
Los Angeles Lakers,2018-01-05,38,94,.404,9,36,.250,9,12,.750,19,94
Memphis Grizzlies,2018-01-05,35,86,.407,10,30,.333,20,26,.769,25,100
Miami Heat,2018-01-05,38,94,.404,12,42,.286,19,20,.950,19,107
Milwaukee Bucks,2018-01-05,41,77,.532,7,17,.412,21,29,.724,23,110
Philadelphia 76ers,2018-01-05,44,90,.489,14,30,.467,12,13,.923,17,114
Portland Trail Blazers,2018-01-05,43,80,.538,13,30,.433,11,14,.786,20,110
San Antonio Spurs,2018-01-05,41,87,.471,11,30,.367,10,18,.556,16,103
Brooklyn Nets,2018-01-06,30,91,.330,6,31,.194,19,22,.864,14,85
Detroit Pistons,2018-01-06,38,75,.507,12,25,.480,20,27,.741,15,108
Indiana Pacers,2018-01-06,48,86,.558,15,31,.484,14,18,.778,19,125
Los Angeles Clippers,2018-01-06,39,91,.429,3,11,.273,24,30,.800,25,105
Minnesota Timberwolves,2018-01-06,44,90,.489,9,18,.500,19,21,.905,20,116
Orlando Magic,2018-01-06,49,98,.500,14,37,.378,15,22,.682,28,127
Sacramento Kings,2018-01-06,42,94,.447,9,25,.360,13,17,.765,22,106
Washington Wizards,2018-01-06,37,78,.474,8,21,.381,21,29,.724,22,103
Dallas Mavericks,2018-01-07,35,92,.380,6,24,.250,20,24,.833,20,96
Los Angeles Lakers,2018-01-07,48,86,.558,16,36,.444,20,25,.800,25,132
Miami Heat,2018-01-07,40,83,.482,9,29,.310,14,20,.700,16,103
Phoenix Suns,2018-01-07,39,88,.443,17,39,.436,19,23,.826,19,114
Portland Trail Blazers,2018-01-07,48,92,.522,8,23,.348,7,10,.700,24,111
Brooklyn Nets,2018-01-08,39,100,.390,12,33,.364,23,28,.821,27,113
Chicago Bulls,2018-01-08,40,86,.465,12,28,.429,15,18,.833,17,107
Golden State Warriors,2018-01-08,48,85,.565,13,30,.433,15,21,.714,15,124
Indiana Pacers,2018-01-08,44,79,.557,7,22,.318,14,20,.700,23,109
Los Angeles Clippers,2018-01-08,38,85,.447,9,18,.500,23,34,.676,25,108
Minnesota Timberwolves,2018-01-08,52,100,.520,10,31,.323,13,17,.765,17,127
New Orleans Pelicans,2018-01-08,46,82,.561,6,22,.273,14,21,.667,18,112
Sacramento Kings,2018-01-08,40,82,.488,8,23,.348,12,16,.750,14,100
Dallas Mavericks,2018-01-09,43,83,.518,9,26,.346,19,22,.864,22,114
Los Angeles Lakers,2018-01-09,37,77,.481,12,35,.343,13,21,.619,23,99
Oklahoma City Thunder,2018-01-09,37,84,.440,13,31,.419,19,26,.731,17,106
Toronto Raptors,2018-01-09,35,90,.389,7,21,.333,12,15,.800,16,89
Brooklyn Nets,2018-01-10,27,74,.365,12,37,.324,14,15,.933,11,80
Charlotte Hornets,2018-01-10,43,84,.512,10,26,.385,15,30,.500,22,111
Denver Nuggets,2018-01-10,38,95,.400,9,37,.243,12,20,.600,18,97
Golden State Warriors,2018-01-10,38,79,.481,8,23,.348,22,26,.846,21,106
Houston Rockets,2018-01-10,45,100,.450,12,38,.316,19,25,.760,30,121
Indiana Pacers,2018-01-10,43,87,.494,1,18,.056,19,29,.655,23,106
Memphis Grizzlies,2018-01-10,37,88,.420,5,19,.263,26,32,.813,26,105
Milwaukee Bucks,2018-01-10,45,82,.549,4,19,.211,16,25,.640,21,110
Minnesota Timberwolves,2018-01-10,39,80,.488,7,20,.350,19,27,.704,22,104
New York Knicks,2018-01-10,48,96,.500,10,22,.455,13,21,.619,20,119
Washington Wizards,2018-01-10,41,78,.526,10,25,.400,12,17,.706,17,104
Los Angeles Lakers,2018-01-11,36,87,.414,13,38,.342,8,14,.571,17,93
Philadelphia 76ers,2018-01-11,38,82,.463,11,28,.393,16,18,.889,19,103
Sacramento Kings,2018-01-11,42,85,.494,8,26,.308,23,28,.821,25,115
Toronto Raptors,2018-01-11,53,106,.500,18,42,.429,9,13,.692,25,133
Atlanta Hawks,2018-01-12,37,80,.463,11,28,.393,20,26,.769,25,105
Charlotte Hornets,2018-01-12,32,78,.410,9,27,.333,26,34,.765,19,99
Denver Nuggets,2018-01-12,27,70,.386,7,22,.318,26,32,.813,18,87
Indiana Pacers,2018-01-12,39,85,.459,10,21,.476,9,12,.750,18,97
Milwaukee Bucks,2018-01-12,36,85,.424,11,28,.393,11,12,.917,20,94
Minnesota Timberwolves,2018-01-12,49,95,.516,10,27,.370,10,16,.625,12,118
New Orleans Pelicans,2018-01-12,45,82,.549,7,19,.368,22,23,.957,16,119
Phoenix Suns,2018-01-12,37,80,.463,14,33,.424,7,9,.778,19,95
Washington Wizards,2018-01-12,54,95,.568,4,16,.250,13,19,.684,22,125
Chicago Bulls,2018-01-13,42,87,.483,17,36,.472,6,9,.667,11,107
Charlotte Hornets,2018-01-13,33,83,.398,9,28,.321,16,23,.696,15,91
Dallas Mavericks,2018-01-13,34,90,.378,11,43,.256,22,28,.786,17,101
Los Angeles Clippers,2018-01-13,46,82,.561,12,31,.387,22,26,.846,22,126
San Antonio Spurs,2018-01-13,41,79,.519,14,27,.519,16,18,.889,17,112
Toronto Raptors,2018-01-13,45,93,.484,8,25,.320,27,32,.844,23,125
Washington Wizards,2018-01-13,46,93,.495,10,23,.435,17,23,.739,19,119
Miami Heat,2018-01-14,35,76,.461,11,29,.379,16,20,.800,18,97
Minnesota Timberwolves,2018-01-14,43,80,.538,7,19,.368,27,33,.818,17,120
New York Knicks,2018-01-14,46,97,.474,12,34,.353,14,18,.778,27,118
Phoenix Suns,2018-01-14,35,85,.412,9,37,.243,18,24,.750,16,97
Atlanta Hawks,2018-01-15,40,86,.465,9,25,.360,13,14,.929,23,102
Brooklyn Nets,2018-01-15,32,87,.368,11,32,.344,29,36,.806,23,104
Chicago Bulls,2018-01-15,42,88,.477,16,39,.410,19,22,.864,23,119
Cleveland Cavaliers,2018-01-15,43,94,.457,7,28,.250,15,22,.682,22,108
Detroit Pistons,2018-01-15,42,86,.488,15,29,.517,8,11,.727,24,107
Los Angeles Clippers,2018-01-15,44,79,.557,10,25,.400,15,20,.750,17,113
Memphis Grizzlies,2018-01-15,42,82,.512,10,22,.455,29,34,.853,26,123
Oklahoma City Thunder,2018-01-15,36,86,.419,9,30,.300,14,29,.483,19,95
Philadelphia 76ers,2018-01-15,40,81,.494,6,25,.240,31,38,.816,28,117
Utah Jazz,2018-01-15,36,81,.444,9,33,.273,13,17,.765,12,94
Washington Wizards,2018-01-15,32,76,.421,6,21,.286,25,31,.806,22,95
Boston Celtics,2018-01-16,40,101,.396,19,50,.380,14,16,.875,24,113
Denver Nuggets,2018-01-16,40,86,.465,8,26,.308,17,26,.654,23,105
Orlando Magic,2018-01-16,40,90,.444,11,31,.355,17,19,.895,15,108
Portland Trail Blazers,2018-01-16,46,91,.505,17,35,.486,9,10,.900,16,118
Atlanta Hawks,2018-01-17,37,89,.416,10,40,.250,10,13,.769,22,94
Brooklyn Nets,2018-01-17,35,83,.422,13,36,.361,12,18,.667,28,95
Chicago Bulls,2018-01-17,45,106,.425,10,39,.256,12,13,.923,19,112
Charlotte Hornets,2018-01-17,48,98,.490,15,31,.484,22,26,.846,18,133
Los Angeles Clippers,2018-01-17,40,87,.460,10,30,.333,19,31,.613,16,109
Memphis Grizzlies,2018-01-17,41,91,.451,10,28,.357,13,17,.765,19,105
Milwaukee Bucks,2018-01-17,33,76,.434,11,28,.393,24,32,.750,25,101
Oklahoma City Thunder,2018-01-17,46,95,.484,12,35,.343,10,12,.833,14,114
Sacramento Kings,2018-01-17,38,72,.528,13,21,.619,16,20,.800,21,105
Toronto Raptors,2018-01-17,34,80,.425,11,31,.355,17,23,.739,20,96
Boston Celtics,2018-01-18,30,74,.405,7,29,.241,13,17,.765,20,80
Cleveland Cavaliers,2018-01-18,38,85,.447,10,34,.294,18,27,.667,21,104
Houston Rockets,2018-01-18,42,88,.477,17,39,.436,15,17,.882,15,116
Portland Trail Blazers,2018-01-18,37,94,.394,10,32,.313,16,16,1.000,11,100
Brooklyn Nets,2018-01-19,36,76,.474,9,32,.281,20,26,.769,18,101
Denver Nuggets,2018-01-19,35,78,.449,14,36,.389,16,21,.762,20,100
Detroit Pistons,2018-01-19,40,80,.500,10,30,.333,22,26,.846,22,112
Los Angeles Lakers,2018-01-19,44,80,.550,9,28,.321,2,14,.143,17,99
Memphis Grizzlies,2018-01-19,39,88,.443,10,34,.294,18,23,.783,17,106
Toronto Raptors,2018-01-19,34,85,.400,9,26,.346,9,14,.643,19,86
Utah Jazz,2018-01-19,42,91,.462,11,31,.355,20,30,.667,20,115
Atlanta Hawks,2018-01-20,35,92,.380,11,48,.229,16,23,.696,21,97
Charlotte Hornets,2018-01-20,41,90,.456,7,27,.259,16,21,.762,12,105
Cleveland Cavaliers,2018-01-20,46,89,.517,10,37,.270,22,27,.815,18,124
Houston Rockets,2018-01-20,41,87,.471,14,37,.378,20,29,.690,18,116
Minnesota Timberwolves,2018-01-20,38,81,.469,7,16,.438,32,42,.762,20,115
New Orleans Pelicans,2018-01-20,39,78,.500,7,27,.259,26,32,.813,15,111
Philadelphia 76ers,2018-01-20,45,85,.529,10,25,.400,16,19,.842,18,116
Portland Trail Blazers,2018-01-20,45,86,.523,18,36,.500,9,10,.900,23,117
Utah Jazz,2018-01-20,45,82,.549,11,28,.393,24,32,.750,29,125
